,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
0,name1,lastname1,Female,11,26,98,LM,9183026210,Smart
1,name2,lastname2,Female,5,26,01,MGT,9272126276,Globe
2,name3,lastname3,Female,5,16,97,CTM,9182537017,Smart
3,name4,lastname4,Male,12,9,97,ITE,9187144360,Smart
4,name5,lastname5,Female,9,5,97,CTM,9274621674,Globe
5,name6,lastname6,Female,3,2,99,MGT,9186295268,Smart
6,name7,lastname7,Female,11,10,98,LM,9173697388,Globe
7,name8,lastname8,Male,8,28,99,ME,9172406000,Globe
8,name9,lastname9,Male,7,10,97,ME,9182265748,Smart
9,name10,lastname10,Female,9,14,01,CTM,9183421717,Smart
10,name11,lastname11,Male,12,8,98,LM,9277081308,Globe
11,name12,lastname12,Male,5,4,97,ME,9277475497,Globe
12,name13,lastname13,Female,1,28,99,CTM,9179594490,Globe
13,name14,lastname14,Female,1,11,99,MGT,9275434192,Globe
14,name15,lastname15,Male,6,6,98,ITE,9172119497,Globe
15,name16,lastname16,Male,4,20,99,LM,9181855162,Smart
16,name17,lastname17,Female,1,3,97,ITE,9271468146,Globe
17,name18,lastname18,Female,4,8,97,MGT,9275164280,Globe
18,name19,lastname19,Male,12,28,97,ITE,9279586909,Globe
19,name20,lastname20,Male,3,10,97,ME,9175149105,Globe
20,name21,lastname21,Female,7,13,99,LM,9279847499,Globe
21,name22,lastname22,Male,9,15,99,ITE,9276993694,Globe
22,name23,lastname23,Male,4,15,97,MGT,9173172478,Globe
23,name24,lastname24,Male,10,1,97,ME,9171593829,Globe
24,name25,lastname25,Male,5,6,97,ME,9188986972,Smart
25,name26,lastname26,Male,12,5,99,ME,9177964622,Globe
26,name27,lastname27,Female,3,4,97,CTM,9271387580,Globe
27,name28,lastname28,Male,11,10,00,LM,9171959244,Globe
28,name29,lastname29,Female,10,10,99,LM,9176433996,Globe
29,name30,lastname30,Male,5,28,99,CTM,9177583119,Globe
30,name31,lastname31,Male,4,6,99,ITE,9186694265,Smart
31,name32,lastname32,Female,7,16,99,MGT,9177508539,Globe
32,name33,lastname33,Male,12,17,99,ITE,9272369504,Globe
33,name34,lastname34,Female,10,4,99,LM,9174384447,Globe
34,name35,lastname35,Male,7,14,01,ITE,9177736035,Globe
35,name36,lastname36,Male,12,11,98,MGT,9184554185,Smart
36,name37,lastname37,Female,2,2,00,MGT,9278899252,Globe
37,name38,lastname38,Female,8,25,01,LM,9278748083,Globe
38,name39,lastname39,Male,5,3,97,ME,9278423053,Globe
39,name40,lastname40,Male,2,27,98,LM,9279231234,Globe
40,name41,lastname41,Male,11,16,99,MGT,9183814956,Smart
41,name42,lastname42,Female,9,24,98,LM,9186029278,Smart
42,name43,lastname43,Female,1,13,99,MGT,9185326748,Smart
43,name44,lastname44,Male,2,25,98,ITE,9176541291,Globe
44,name45,lastname45,Female,1,27,97,ME,9182441683,Smart
45,name46,lastname46,Female,12,24,98,ME,9178181190,Globe
46,name47,lastname47,Male,8,23,99,MGT,9174686425,Globe
47,name48,lastname48,Female,4,13,99,ITE,9186351688,Smart
48,name49,lastname49,Male,10,11,97,LM,9178211896,Globe
49,name50,lastname50,Male,3,25,01,LM,9279249506,Globe
50,name51,lastname51,Female,8,22,98,ITE,9188542626,Smart
51,name52,lastname52,Female,3,21,99,CTM,9184389745,Smart
52,name53,lastname53,Male,12,15,00,MGT,9178938235,Globe
53,name54,lastname54,Female,7,10,98,CTM,9182165250,Smart
54,name55,lastname55,Female,5,8,98,ME,9172571057,Globe
55,name56,lastname56,Male,9,9,98,ME,9279495098,Globe
56,name57,lastname57,Female,5,9,01,CTM,9277666306,Globe
57,name58,lastname58,Female,4,6,97,ME,9188518794,Smart
58,name59,lastname59,Male,4,24,98,ITE,9179012860,Globe
59,name60,lastname60,Male,8,26,99,ITE,9186815912,Smart
60,name61,lastname61,Female,9,8,98,CTM,9183401320,Smart
61,name62,lastname62,Female,12,7,00,ITE,9275511326,Globe
62,name63,lastname63,Male,2,22,00,ME,9189754142,Smart
63,name64,lastname64,Female,11,13,97,ITE,9174661269,Globe
64,name65,lastname65,Female,3,23,97,ME,9276271302,Globe
65,name66,lastname66,Female,9,24,97,LM,9175535101,Globe
66,name67,lastname67,Male,12,9,97,CTM,9174425313,Globe
67,name68,lastname68,Male,11,4,01,MGT,9277157133,Globe
68,name69,lastname69,Male,11,19,98,CTM,9174484860,Globe
69,name70,lastname70,Female,5,12,98,LM,9172551167,Globe
70,name71,lastname71,Female,8,19,99,CTM,9184613486,Smart
71,name72,lastname72,Male,12,1,99,MGT,9273477129,Globe
72,name73,lastname73,Male,6,21,98,ME,9184046593,Smart
73,name74,lastname74,Male,10,25,97,LM,9277378051,Globe
74,name75,lastname75,Male,9,17,98,ITE,9273487430,Globe
75,name76,lastname76,Female,2,2,97,CTM,9271884940,Globe
76,name77,lastname77,Male,5,19,00,CTM,9189613285,Smart
77,name78,lastname78,Female,9,15,00,MGT,9185105817,Smart
78,name79,lastname79,Male,12,23,00,LM,9276686229,Globe
79,name80,lastname80,Female,8,10,99,CTM,9272299686,Globe
80,name81,lastname81,Male,2,1,97,CTM,9188736019,Smart
81,name82,lastname82,Male,11,22,97,CTM,9183767811,Smart
82,name83,lastname83,Female,6,18,00,ME,9271184679,Globe
83,name84,lastname84,Female,2,28,99,ITE,9172362591,Globe
84,name85,lastname85,Female,1,10,99,LM,9271281225,Globe
85,name86,lastname86,Male,11,21,98,MGT,9185876655,Smart
86,name87,lastname87,Female,8,15,98,ITE,9189458163,Smart
87,name88,lastname88,Male,1,26,97,ME,9179086005,Globe
88,name89,lastname89,Female,3,26,98,ITE,9173679784,Globe
89,name90,lastname90,Male,3,15,99,ITE,9185016913,Smart
90,name91,lastname91,Female,8,16,97,ITE,9188231926,Smart
91,name92,lastname92,Male,12,8,97,ME,9174491492,Globe
92,name93,lastname93,Female,6,14,98,ITE,9271961085,Globe
93,name94,lastname94,Male,11,24,97,LM,9187681582,Smart
94,name95,lastname95,Female,9,6,01,CTM,9271119326,Globe
95,name96,lastname96,Male,3,16,99,CTM,9176991883,Globe
96,name97,lastname97,Female,1,19,97,MGT,9181491873,Smart
97,name98,lastname98,Male,1,10,98,ITE,9276151107,Globe
98,name99,lastname99,Male,5,12,98,CTM,9274408773,Globe
99,name100,lastname100,Female,5,10,99,MGT,9277872993,Globe
100,name101,lastname101,Female,4,2,97,CTM,9279523919,Globe
101,name102,lastname102,Male,8,14,01,LM,9184547163,Smart
102,name103,lastname103,Male,12,16,00,ME,9271488884,Globe
103,name104,lastname104,Female,7,16,01,CTM,9188523413,Smart
104,name105,lastname105,Male,3,5,99,ITE,9175027912,Globe
105,name106,lastname106,Female,8,25,97,CTM,9275101038,Globe
106,name107,lastname107,Female,4,21,01,MGT,9279581514,Globe
107,name108,lastname108,Male,5,14,99,MGT,9187974867,Smart
108,name109,lastname109,Female,8,15,98,ME,9176153478,Globe
109,name110,lastname110,Male,1,8,99,ME,9186615521,Smart
110,name111,lastname111,Female,12,22,01,ME,9184011101,Smart
111,name112,lastname112,Female,5,19,97,MGT,9184699048,Smart
112,name113,lastname113,Female,5,27,97,ITE,9173895698,Globe
113,name114,lastname114,Female,8,22,99,CTM,9179466274,Globe
114,name115,lastname115,Male,3,26,98,ITE,9172368755,Globe
115,name116,lastname116,Female,7,19,97,ITE,9182691384,Smart
116,name117,lastname117,Male,1,11,97,LM,9189532016,Smart
117,name118,lastname118,Female,2,4,99,ME,9187521689,Smart
118,name119,lastname119,Male,12,27,97,LM,9272593515,Globe
119,name120,lastname120,Female,2,3,97,LM,9187322042,Smart
120,name121,lastname121,Female,3,5,00,LM,9181371929,Smart
121,name122,lastname122,Female,3,1,01,LM,9178985495,Globe
122,name123,lastname123,Female,4,23,99,LM,9184792283,Smart
123,name124,lastname124,Male,2,2,99,MGT,9174288800,Globe
124,name125,lastname125,Female,11,24,98,LM,9176418280,Globe
125,name126,lastname126,Male,6,4,00,LM,9272729008,Globe
126,name127,lastname127,Male,3,3,00,LM,9172183720,Globe
127,name128,lastname128,Female,6,20,98,LM,9188723714,Smart
128,name129,lastname129,Male,10,25,98,ME,9273995328,Globe
129,name130,lastname130,Female,7,18,00,MGT,9273848421,Globe
130,name131,lastname131,Female,2,23,99,CTM,9272789317,Globe
